What country do you live in currently?,What industry do you work in?,Other,"In the following list, what best describes the work you do?",Other,What level are you in your role?,How long have you worked remotely?,What percentage of the time do you work remotely?,Which of the following statements best describes you:,"Would you like to work remotely, at least some of the time, for the rest of your career?",Do you encourage others to work remotely? (This can be anyone in your life from coworkers to friends and family.),What’s your biggest struggle with working remotely?,Other,What’s the biggest benefit you see to working remotely?,Other,How much vacation did you take in the past year?,How much vacation time does your company offer each year?,What location do you primarily work from?,Other,What is the second most common location that you work from?,Other,"How often do you travel outside of your home city and work at the same time? (This includes work retreats, conferences, and any time you’re working in a different city.) ",Which description best suits you?,Did you always intend to support remote work?,What is your company's stance on remote work?,How many full-time employees does your company have?,What percentage of your company works remotely?,Does your company pay for your home internet?,Does your company cover the cost of a coworking membership?,Does your company cover the cost of drinks/food at coffee shops?,Are there any other costs of working remotely that your company covers?,"If you work from coffee shops, how much do you spend at coffee shops per week? (in USD)","If you work from coworking spaces, how much do you spend for yourself on coworking spaces per month? (in USD)",How much do you earn per year in USD? (We are not gathering your name or email address so this information will not be able to be used to identify you.),What has surprised you most about working remotely?,Anything else you want to add that we didn’t ask about?
France,Software,,Human Resources,,Professional level,Less than six months,26 to 50%,I would like to work remotely more often.,1,1,Loneliness,,The flexibility to work from any location,,5 weeks,6 weeks,Home,,Coworking spaces,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,11 to 50,26 to 50%,No,Yes,No,,Between $1 and $5,Between $1 and $100,"$25,001 to $50,000",,
United Kingdom,Software,,Engineering,,Senior level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Being in a different timezone than teammates,,Ability to have a flexible schedule,,4 weeks,4 weeks,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,"More than 1,001",1 to 25%,No,No,No,,,,"$125,001 to $150,000",How small details in chat tools can make a big difference to your sense of connection. Eg. Emoji reactions make it feel like there are more people around and listening.,
Sweden,IT and Services,,Engineering,,Senior level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,,I'm doing fine,The flexibility to work from any location,,5 weeks,Unlimited,Home,,Coworking spaces,,Frequently (Between one and six months per year),Freelancer / Self-employed,,,,,,,,,Between $1 and $5,Between $101 and $200,"$100,000 to $125,000",,
France,Software,,Engineering,,Senior level,Less than six months,26 to 50%,I would like to work remotely more often.,1,1,Distractions at home,,Ability to have a flexible schedule,,5 weeks,6 weeks,Home,,Home,,Never,Freelancer / Self-employed,,,,,,,,,Between $1 and $5,Between $1 and $100,"$150,001 to $200,000","I am not disturbed by colleagues, I can focus on my tasks",
Canada,Software,,Engineering,,Senior level,Less than six months,100%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,Ability to have a flexible schedule,,2 weeks,5 weeks,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,Fewer than 10,100%,No,No,No,No,,,"$50,001 to $75,000",My efficiency,"Are you on a different timezone? Yes, 6 hours difference."
Spain,IT and Services,,Engineering,,Senior level,Less than six months,100%,I am happy with the amount of time I work remotely.,1,1,Collaborating and/or communication,,The flexibility to work from any location,,5 weeks,5 weeks,Home,,Coworking spaces,,Infrequently (Less than a week per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,"501 to 1,000",1 to 25%,Yes,No,No,Lunch ticket,Between $1 and $5,Between $1 and $100,"$50,001 to $75,000",The freedom and trust given by my employer,No
France,IT and Services,,Operations,,Management level,1 year to 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,The flexibility to work from any location,,More than 6 weeks,Unlimited,Home,,,Friands home,Infrequently (Less than a week per year),Freelancer / Self-employed,,,,,,,,,,,"up to $25,000",Ability or focusing 9n the work,
Belgium,Education,,Leadership,,Professional level,6 months to 11 months,100%,I would like to work remotely less often.,1,1,Collaborating and/or communication,,Ability to have a flexible schedule,,5 weeks,None,Home,,Coworking spaces,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,Between $5 and $10,Between $1 and $100,"$50,001 to $75,000",the lack of working together on a project (but probably caused by being self-employed),
United States,Software,,Leadership,,Senior level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Finding reliable wifi,,The flexibility to work from any location,,3 weeks,Unlimited,Home,,Coffee shops and cafes,,Very frequently (More than six months of the year),Employee,,Everyone at my company works remotely,"501 to 1,000",100%,No,No,Yes,No,Between $5 and $10,Between $1 and $100,"$150,001 to $200,000",,
Australia,Software,,Leadership,,Executive level,More than 4 years,100%,I would like to work remotely more often.,1,1,Collaborating and/or communication,,Ability to have a flexible schedule,,More than 6 weeks,Unlimited,Coffee shops and cafes,,Libraries,,Sometimes (Between one week and one month per year),Business owner,1,I am a solo business or freelancer and work remotely,Just me,100%,Yes,Yes,No,no,Between $11 and $20,Between $1 and $100,"$50,001 to $75,000","lack of cooperation and communication as many are ""busy""",
Belgium,Financial Services,,Leadership,,Management level,1 year to 4 years,1 to 25%,I am happy with the amount of time I work remotely.,1,1,Finding reliable wifi,,Ability to have a flexible schedule,,4 weeks,5 weeks,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Employee,,At my company we can work from home as needed,"501 to 1,000",26 to 50%,No,No,No,Laptop available,Between $5 and $10,Between $101 and $200,"$75,001 to $100,000","More focus, but less appreciated... ","The distance to work? It's 125km for me... Then it makes sense imo. If you work less than 25km, it should be an exception to work from home... "
Australia,,HR,Leadership,,Executive level,More than 4 years,1 to 25%,I am happy with the amount of time I work remotely.,1,1,Staying motivated,,Ability to spend time with family,,5 weeks,4 weeks,Coworking spaces,,Home,,Sometimes (Between one week and one month per year),Business owner,1,Part of the team is full-time remote and part of the team works out of the same office.,11 to 50,51 to 75%,Yes,Yes,No,"Equipment (desk, chair, keyboard + mouse, monitor, headset, laptop)
Health and wellbeing allowance",Between $1 and $5,More than $500,"Over $200,000",How my attitude to it changed over time,"I found remote work to be great at first, freedom to work when I liked, the comfort of being at home, flexibility on when I start work and finish work and run errands. But over time I found my productivity suffered, bad habits crept in and I found it harder to maintain. In the end I moved into a c-working office and it has been much better for me. I work from home 2-3 days a month and try to organise lots of calls for when I'm at home which keeps me focused. "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IT and Services,,Engineering,,Management level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Staying motivated,,The flexibility to work from any location,,3 weeks,More than 6 weeks,Coworking spaces,,Coffee shops and cafes,,Frequently (Between one and six months per year),Employee,,Everyone at my company works remotely,51 to 100,100%,No,Partially,No,,Between $5 and $10,Between $1 and $100,"$25,001 to $50,000",,
United States,Software,,Marketing and Advertising,,Executive level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,The flexibility to work from any location,,2 weeks,Unlimited,,Rented personal office,Home,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,Fewer than 10,100%,No,No,No,,,,"$50,001 to $75,000",,
India,Software,,Engineering,,Senior level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Being in a different timezone than teammates,,Ability to spend time with family,,2 weeks,5 weeks,Home,,Home,,Never,Employee,,Everyone at my company works remotely,51 to 100,100%,No,No,No,"If you purchase a new device (say, a computer), my company bears 50% of its cost.",,,,I can spend the commute time on self-learning.,
United States,Marketing,,Engineering,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,The flexibility to work from any location,,6 weeks,6 weeks,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,101 to 500,76 to 99%,No,Yes,No,Office equipment at home,Between $5 and $10,,"$125,001 to $150,000",Greater productivity,
India,IT and Services,,Product,,Senior level,1 year to 4 years,100%,I would like to work remotely less often.,1,0,Distractions at home,,The flexibility to work from any location,,1 week,4 weeks,Home,,Coffee shops and cafes,,Infrequently (Less than a week per year),Employee,,Everyone at my company works remotely,51 to 100,100%,Yes,Yes,Yes,No,Between $1 and $5,Between $1 and $100,"up to $25,000",,
India,IT and Services,,Engineering,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,,Ability to find time to work on yourself,4 weeks,5 weeks,Home,,Coffee shops and cafes,,Infrequently (Less than a week per year),Employee,,Everyone at my company works remotely,51 to 100,100%,No,Yes,No,"Gym membership, Monthly meetup for same cities employees.",Between $1 and $5,Between $101 and $200,"up to $25,000",That you should be self-disciplined.,
India,IT and Services,,Engineering,,Executive level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,,Discipline,Ability to have a flexible schedule,,3 weeks,5 weeks,Home,,Coworking spaces,,Frequently (Between one and six months per year),Business owner,1,Everyone at my company works remotely,51 to 100,100%,Yes,Yes,No,Monthly team get togethers,More than $30,Between $201 and $300,"$50,001 to $75,000",The social impact that is has had,No all good.
United States,Software,,Leadership,,Executive level,More than 4 years,51 to 75%,I am happy with the amount of time I work remotely.,1,1,,Leaving the house!,Ability to have a flexible schedule,,4 weeks,5 weeks,Home,,Coffee shops and cafes,,Frequently (Between one and six months per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,101 to 500,51 to 75%,No,No,No,,Between $11 and $20,,"Over $200,000",,
United States,Marketing,,Marketing and Advertising,,Professional level,6 months to 11 months,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,The flexibility to work from any location,,2 weeks,2 weeks,Home,,Coffee shops and cafes,,Infrequently (Less than a week per year),Employee,,At my company we can work remotely a certain number of days per week/month,11 to 50,1 to 25%,No,No,No,,Between $11 and $20,,"$25,001 to $50,000",Missing working with my teammates,
Canada,Software,,Finances,,Management level,6 months to 11 months,100%,I am happy with the amount of time I work remotely.,1,1,Collaborating and/or communication,,Ability to have a flexible schedule,,3 weeks,Unlimited,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,"501 to 1,000",100%,No,Partially,Yes,,,,"$100,000 to $125,000",,
Nigeria,IT and Services,,,Social Media Management,Entry level,Less than six months,51 to 75%,I am happy with the amount of time I work remotely.,1,1,Finding reliable wifi,,Ability to have a flexible schedule,,None,None,Home,,Not applicable,,Infrequently (Less than a week per year),Freelancer / Self-employed,,,,,,,,,Between $1 and $5,Between $1 and $100,"up to $25,000",Flexibility,No
United States,Software,,Engineering,,Management level,1 year to 4 years,26 to 50%,I would like to work remotely more often.,1,1,Collaborating and/or communication,,Ability to spend time with family,,2 weeks,Unlimited,Home,,Coworking spaces,,Infrequently (Less than a week per year),Employee,,At my company we can work remotely a certain number of days per week/month,11 to 50,1 to 25%,No,No,No,,Between $5 and $10,Between $1 and $100,"$150,001 to $200,000","how much time saved from not commuting, not spending time out for lunch",
United States,Marketing,,Marketing and Advertising,,Management level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Taking vacation time,,Ability to spend time with family,,2 weeks,4 weeks,Home,,Libraries,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,101 to 500,1 to 25%,Yes,No,No,Cell phone,,,"$100,000 to $125,000",That I work a lot harder when on my own.,
Malaysia,IT and Services,,Leadership,,Executive level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,0,Collaborating and/or communication,,The flexibility to work from any location,,More than 6 weeks,None,Coworking spaces,,Coffee shops and cafes,,Frequently (Between one and six months per year),Business owner,0,I am a solo business or freelancer and work remotely,Fewer than 10,100%,Partially,Partially,No,,More than $30,Between $201 and $300,"Over $200,000",Bland surveys like this,There is a lot of focus on “home” in this survey. “Work from home” and “work remotely” are two different things for me.
United States,,Translation,,Translation,Professional level,More than 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Ability to work from home,,Less than 1 week,None,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,Between $5 and $10,,"up to $25,000",,
Australia,IT and Services,,Leadership,,Management level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Collaborating and/or communication,,Ability to have a flexible schedule,,6 weeks,Unlimited,Home,,Coffee shops and cafes,,Frequently (Between one and six months per year),Business owner,0,I am a solo business or freelancer and work remotely,Just me,100%,Yes,Yes,Yes,,Between $20 and $30,Between $1 and $100,"$25,001 to $50,000",,
United States,IT and Services,,Engineering,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Staying motivated,,Ability to have a flexible schedule,,3 weeks,3 weeks,Home,,Coffee shops and cafes,,Frequently (Between one and six months per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,"More than 1,001",26 to 50%,No,No,Yes,,Between $11 and $20,,"$150,001 to $200,000",,
Japan,IT and Services,,Engineering,,Professional level,1 year to 4 years,26 to 50%,I would like to work remotely more often.,1,1,Unplugging after work,,The flexibility to work from any location,,None,None,Coffee shops and cafes,,Home,,Frequently (Between one and six months per year),Freelancer / Self-employed,,,,,,,,,Between $20 and $30,,"$125,001 to $150,000",,
El Salvador,Software,,Engineering,,Professional level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,The flexibility to work from any location,,None,2 weeks,Home,,Coffee shops and cafes,,Infrequently (Less than a week per year),Freelancer / Self-employed,,,,,,,,,Between $5 and $10,More than $500,"$25,001 to $50,000",Self-care and self-exploration in terms of what we are capable of doing when focused and motivated,"A lot of good communication is needed, sometimes this communication is not that precise, because it's hard to give a voice to your text messages"
United States,Media and Publishing,,,journalism,Professional level,More than 4 years,26 to 50%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,Ability to work from home,,3 weeks,3 weeks,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,101 to 500,1 to 25%,No,No,No,no,Between $11 and $20,,"$75,001 to $100,000",I get more done.,Benefits of working from home include those juggling child/elder care issues.
France,Software,,Engineering,,Management level,6 months to 11 months,1 to 25%,I would like to work remotely more often.,1,1,Loneliness,,Ability to spend time with family,,6 weeks,6 weeks,Home,,Not applicable,,Sometimes (Between one week and one month per year),Employee,,At my company we can work from home as needed,51 to 100,1 to 25%,No,No,,"
",Between $5 and $10,Between $101 and $200,"$75,001 to $100,000","
",
United States,IT and Services,,Customer Support,,Senior level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Staying motivated,,Ability to work from home,,3 weeks,3 weeks,Home,,Not applicable,,Never,Employee,,Part of the team is full-time remote and part of the team works out of the same office.,"More than 1,001",100%,No,No,No,Literally none,,,"$25,001 to $50,000",How liberating it is,Job needs more pay and good reasoning/motivation for others to improve that isn't based on requirements.
New Zealand,Software,,Marketing and Advertising,,Management level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Ability to work from home,,3 weeks,4 weeks,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Employee,,At my company we can work from home as needed,11 to 50,1 to 25%,No,No,No,none,Between $5 and $10,,"$50,001 to $75,000",Nothing really - I was very prepared before I started and I htink that has contributed to my success.,"I love working remotely, and I think it is the future of work. However, I will say that although I work from home, I can't really travel because I have to be online during office hours.  Although the attitude is modern at my workspace, it is seen as a privilege and my choice, therefore the company won't pay for any expenses. I'd love to work in a co-working space to get more human interaction, but they are so expensive. "
France,Software,,Engineering,,Executive level,1 year to 4 years,51 to 75%,I am happy with the amount of time I work remotely.,1,1,Collaborating and/or communication,,Ability to have a flexible schedule,,5 weeks,5 weeks,Coworking spaces,,Home,,Infrequently (Less than a week per year),Business owner,1,Part of the team is full-time remote and part of the team works out of the same office.,11 to 50,51 to 75%,Yes,Yes,No,,,Between $201 and $300,"$100,000 to $125,000",,
France,IT and Services,,Operations,,Management level,1 year to 4 years,51 to 75%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Ability to have a flexible schedule,,5 weeks,More than 6 weeks,Home,,Not applicable,,Infrequently (Less than a week per year),Employee,,At my company we can work from home as needed,101 to 500,51 to 75%,No,Yes,No,Train subscription,Between $11 and $20,,"$75,001 to $100,000",My ability to respect the deadlines,
Germany,Law and Legal Services,,Leadership,,Senior level,1 year to 4 years,1 to 25%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Ability to have a flexible schedule,,5 weeks,5 weeks,Home,,,Own office,Frequently (Between one and six months per year),Employee,,At my company we can work from home as needed,11 to 50,1 to 25%,No,No,No,No,More than $30,Between $401 and $500,"$150,001 to $200,000","With all the tools like Slack, Trello, etc. it feels like my colleagues are just round the corner.",NO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Software,,Engineering,,Senior level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Ability to have a flexible schedule,,6 weeks,6 weeks,Home,,Not applicable,,Infrequently (Less than a week per year),Employee,,Everyone at my company works remotely,11 to 50,76 to 99%,Yes,No,No,"Mobile phone, everything Hardware and software related ",,,"$75,001 to $100,000",The heavenly quietness for concentration on my tasks,
Venezuela,Marketing,,Marketing and Advertising,,Professional level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Staying motivated,,Ability to spend time with family,,None,None,Home,,Not applicable,,Infrequently (Less than a week per year),Freelancer / Self-employed,,,,,,,,,Between $1 and $5,,"up to $25,000",It can be difficult to keep peace in mind.,
Spain,IT and Services,,Engineering,,Senior level,6 months to 11 months,1 to 25%,I would like to work remotely less often.,1,1,Collaborating and/or communication,,Ability to spend time with family,,5 weeks,5 weeks,Home,,Not applicable,,Never,Employee,,At my company we can work remotely a certain number of days per week/month,11 to 50,1 to 25%,No,No,No,,Between $5 and $10,Between $101 and $200,"$25,001 to $50,000",,
Canada,Marketing,,Marketing and Advertising,,Executive level,More than 4 years,76 to 99%,I would like to work remotely more often.,1,1,Loneliness,,Ability to have a flexible schedule,,2 weeks,Unlimited,Home,,Coffee shops and cafes,,Infrequently (Less than a week per year),Business owner,1,I am a solo business or freelancer and work remotely,Just me,100%,Yes,No,Yes,,Between $5 and $10,Between $1 and $100,"$75,001 to $100,000",,
France,E-commerce,,Leadership,,Executive level,6 months to 11 months,26 to 50%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,The flexibility to work from any location,,6 weeks,None,Coworking spaces,,Coffee shops and cafes,,Frequently (Between one and six months per year),Business owner,1,Everyone at my company works remotely,Fewer than 10,100%,No,Yes,No,,Between $11 and $20,Between $301 and $400,"Over $200,000",Difficulty to stay focus. Not as glorious as it sounds.,It’s nice to encourage working remotely but most remote workers are doing shallow work. And it needs to be emphasized.
United States,Marketing,,Marketing and Advertising,,Entry level,Less than six months,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,Ability to have a flexible schedule,,2 weeks,Unlimited,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,11 to 50,100%,No,No,No,No.,Between $1 and $5,,"$25,001 to $50,000",I am more productive working at home than in the office.,I think everyone should have the option of working remotely. It's way more productive and enjoyable for employees.
Croatia,Software,,Engineering,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,0,Loneliness,,Ability to have a flexible schedule,,2 weeks,3 weeks,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Employee,,I am a solo business or freelancer and work remotely,11 to 50,26 to 50%,No,No,No,No,Between $11 and $20,,"$75,001 to $100,000",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,Media and Publishing,,,Podcast Production,Executive level,1 year to 4 years,100%,I would like to work remotely less often.,0,0,Loneliness,,Ability to have a flexible schedule,,More than 6 weeks,Unlimited,Coworking spaces,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,Between $11 and $20,Between $1 and $100,"$50,001 to $75,000",How much I miss human interaction.,
United States,,Staffing,Human Resources,,Professional level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Collaborating and/or communication,,Ability to have a flexible schedule,,2 weeks,3 weeks,Home,,Coffee shops and cafes,,Infrequently (Less than a week per year),Employee,,Everyone at my company works remotely,51 to 100,100%,Partially,No,No,No,Between $5 and $10,Between $1 and $100,"$25,001 to $50,000",I don’t feel lonely at all,No
United Kingdom,,Paint manufacture,Marketing and Advertising,,Entry level,1 year to 4 years,26 to 50%,I would like to work remotely more often.,1,1,Collaborating and/or communication,,Ability to have a flexible schedule,,More than 6 weeks,4 weeks,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Employee,,At my company we can work from home as needed,11 to 50,1 to 25%,No,No,No,,Between $1 and $5,Between $1 and $100,"up to $25,000",How much I am able to get done without office distractions in my own environment,
United States,Software,,Sales,,Professional level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,Ability to have a flexible schedule,,3 weeks,5 weeks,Home,,Coffee shops and cafes,,Frequently (Between one and six months per year),Employee,,At my company we can work from home as needed,101 to 500,26 to 50%,No,No,No,$250 once to set up your home office.,Between $5 and $10,,"$75,001 to $100,000",How freakin productive I am! Sometimes to the point of forgetting to get up / stretch / pee / drink water.,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Software,,Product,,Management level,1 year to 4 years,51 to 75%,I am happy with the amount of time I work remotely.,1,1,Collaborating and/or communication,,Ability to have a flexible schedule,,2 weeks,3 weeks,Home,,Coworking spaces,,Very frequently (More than six months of the year),Employee,,At my company we can work remotely a certain number of days per week/month,101 to 500,1 to 25%,No,No,No,,,Between $1 and $100,"$25,001 to $50,000",,
United Kingdom,IT and Services,,,"SEO, IT, Web, Digital Marketing",Professional level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Ability to have a flexible schedule,,4 weeks,4 weeks,Home,,Not applicable,,Never,Employee,,Everyone at my company works remotely,Fewer than 10,100%,No,No,No,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,,Culture,Marketing and Advertising,,Professional level,1 year to 4 years,76 to 99%,I would like to work remotely more often.,1,1,Collaborating and/or communication,,Ability to have a flexible schedule,,3 weeks,4 weeks,Coworking spaces,,Home,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,101 to 500,1 to 25%,No,Yes,No,No,Between $1 and $5,Between $101 and $200,"up to $25,000",,
United States,IT and Services,,Customer Support,,Management level,More than 4 years,1 to 25%,I would like to work remotely more often.,1,1,Unplugging after work,,Ability to work from home,,3 weeks,5 weeks,Home,,Not applicable,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,101 to 500,1 to 25%,No,No,No,,Between $1 and $5,,"$50,001 to $75,000",,
United States,Marketing,,Marketing and Advertising,,Executive level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,0,Unplugging after work,,Ability to have a flexible schedule,,4 weeks,Unlimited,Home,,Coffee shops and cafes,,Frequently (Between one and six months per year),Business owner,1,Everyone at my company works remotely,Fewer than 10,100%,Yes,No,Yes,,Between $1 and $5,Between $1 and $100,"$125,001 to $150,000",,
United States,Software,,Marketing and Advertising,,Senior level,1 year to 4 years,100%,I would like to work remotely less often.,1,1,Loneliness,,The flexibility to work from any location,,5 weeks,Unlimited,Home,,,Family houses when visiting them,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,"More than 1,001",1 to 25%,Partially,No,No,,,,"$100,000 to $125,000",Ability to be more productive,
United States,Education,,Leadership,,Professional level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,The flexibility to work from any location,,3 weeks,6 weeks,Coffee shops and cafes,,Home,,Frequently (Between one and six months per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,"More than 1,001",76 to 99%,Yes,No,No,,Between $20 and $30,Between $1 and $100,"$75,001 to $100,000",,
Belgium,,Consulting coaching training,Human Resources,,Executive level,More than 4 years,76 to 99%,I would like to work remotely less often.,1,1,Collaborating and/or communication,,Ability to work from home,,More than 6 weeks,More than 6 weeks,Home,,Coffee shops and cafes,,Almost all the time,Business owner,1,Everyone at my company works remotely,Fewer than 10,100%,Yes,Yes,Yes,,More than $30,Between $1 and $100,"$25,001 to $50,000",The ease to combine work and private life. Work focused and still have the feeling working together with colleagues via skype,"You really need to have a good platform and policies in the use of mail, whatsapp, sharepoint, teams, Skype. "
United States,Media and Publishing,,Design,,Management level,More than 4 years,51 to 75%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Ability to have a flexible schedule,,2 weeks,2 weeks,Home,,Coffee shops and cafes,,Infrequently (Less than a week per year),Freelancer / Self-employed,,,,,,,,,Between $11 and $20,,"$25,001 to $50,000","The amount of work that still, in 2018, doesn't have it as an option.",
Germany,Marketing,,Customer Support,,Entry level,1 year to 4 years,100%,I would like to work remotely less often.,0,0,Unplugging after work,,Ability to work from home,,5 weeks,5 weeks,Home,,Libraries,,Infrequently (Less than a week per year),Employee,,Everyone at my company works remotely,Fewer than 10,100%,No,No,No,Laptop,Between $1 and $5,Between $1 and $100,"up to $25,000",,
France,Software,,Engineering,,Professional level,6 months to 11 months,26 to 50%,I am happy with the amount of time I work remotely.,0,1,Staying motivated,,The flexibility to work from any location,,5 weeks,5 weeks,Home,,Home,,Sometimes (Between one week and one month per year),Employee,,At my company we can work from home as needed,51 to 100,1 to 25%,No,Partially,No,,Between $11 and $20,Between $201 and $300,"$50,001 to $75,000",,
Netherlands,Software,,Design,,Professional level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Taking vacation time,,Ability to have a flexible schedule,,4 weeks,6 weeks,Home,,Coffee shops and cafes,,Infrequently (Less than a week per year),Freelancer / Self-employed,,,,,,,,,Between $5 and $10,Between $1 and $100,"$75,001 to $100,000",,
Brazil,Software,,Engineering,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Staying motivated,,The flexibility to work from any location,,5 weeks,5 weeks,Home,,Coworking spaces,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,11 to 50,100%,No,No,No,nope,Between $1 and $5,Between $201 and $300,"$50,001 to $75,000",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Marketing,,Marketing and Advertising,,Professional level,Less than six months,1 to 25%,I am happy with the amount of time I work remotely.,1,1,Collaborating and/or communication,,Ability to have a flexible schedule,,3 weeks,5 weeks,Home,,Coffee shops and cafes,,Infrequently (Less than a week per year),Employee,,At my company we can work from home as needed,11 to 50,1 to 25%,No,No,No,No,Between $20 and $30,,"$25,001 to $50,000",Sometimes I am more concentrated than in the office as there are no other people to socialize with,
Netherlands,Software,,Leadership,,Management level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Collaborating and/or communication,,Ability to have a flexible schedule,,4 weeks,Unlimited,Home,,Not applicable,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,11 to 50,26 to 50%,No,No,No,Desk and monitor,,,,,
United Kingdom,Marketing,,Marketing and Advertising,,Management level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Ability to have a flexible schedule,,2 weeks,4 weeks,Home,,Not applicable,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,51 to 100,100%,No,No,No,No,,,"$25,001 to $50,000",Nothing,No
United Kingdom,Software,,Engineering,,Professional level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Ability to have a flexible schedule,,2 weeks,5 weeks,Home,,Not applicable,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,51 to 100,100%,Yes,Yes,No,,,,"$75,001 to $100,000",,
