Do you work remotely sometimes?,What country do you live in currently?,What industry do you work in?,Other,"In the following list, what best describes the work you do?",Other,What level are you in your role?,How long have you worked remotely?,What percentage of the time do you work remotely?,Which of the following statements best describes you:,"Would you like to work remotely, at least some of the time, for the rest of your career?",Would you recommend remote work to others?,What’s your biggest struggle with working remotely?,Other,What’s the biggest benefit you see to working remotely?,Other,How much vacation did you take in the past year?,How much vacation time does your company offer each year?,What location do you primarily work from?,Other,What is the second most common location that you work from?,Other,"How often do you travel outside of your home city and work at the same time? (This includes work retreats, conferences, and any time you’re working in a different city.) ",Which description best suits you?,Did you always intend to support remote work?,What is your company's stance on remote work?,How many full-time employees does your company have?,What percentage of your company works remotely?,Does your company pay for your home internet?,24. Does your company pay for your cell phone?,Does your company cover the cost of a coworking membership?,Does your company cover the cost of drinks/food at coffee shops?,Are there any other costs of working remotely that your company covers?,"If you work from coffee shops, how much do you spend at coffee shops per week? (in USD)","If you work from coworking spaces, how much do you spend for yourself on coworking spaces per month? (in USD)",How much do you earn per year in USD?,What has surprised you most about working remotely?,Anything else you want to add that we didn’t ask about?
1,United States,,Manufacturing,Engineering,,Professional level,1 year to 4 years,,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Flexibility to work from any location,,1 week,2 weeks,Home,,Company's office,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,"More than 1,001",51 to 75%,Partially,Partially,No,No,No,Not applicable,Not applicable,"$100,000 to $125,000",Not enough human contact,
1,United States,Software,,Operations,,Senior level,1 year to 4 years,1 to 25%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,,Fewer interruptions,5 weeks,5 weeks,Company's office,,Home,,Sometimes (Between one week and one month per year),Employee,,At my company we can work from home as needed,"More than 1,001",26 to 50%,No,Yes,No,No,,Not applicable,Not applicable,"Over $200,000",,
1,United States,Software,,Engineering,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Not being able to unplug,,Ability to work from home,,None,2 weeks,Home,,Coffee shops,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,"More than 1,001",1 to 25%,No,No,No,No,,Not applicable,Not applicable,"Over $200,000",,
1,United States,Software,,Sales,,Professional level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Ability to have a flexible schedule,,2 weeks,3 weeks,Home,,Not applicable,,Very frequently (More than six months of the year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,"501 to 1,000",1 to 25%,No,No,No,No,No,Not applicable,Not applicable,"$125,001 to $150,000",The flexibility is offers,"The hardest aspect is adjusting to the company’s time zone. I’m PST and the corporate office is CST. 
Also it is lonely to feel that you belong in the company since no one knows who you are "
1,United States,Software,,Engineering,,Senior level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Flexibility to work from any location,,3 weeks,3 weeks,Home,,Home,,Frequently (Between one and six months per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,101 to 500,51 to 75%,No,No,No,No,Home office,Not applicable,Not applicable,"Over $200,000",That I suddenly needed to make time to be social daily,"My productivity skyrocketed. I realized how many hours I used to spend chitchatting, going to lunch, office events, etc"
1,United States,IT and Services,,Leadership,,Management level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,,Culture clash small percent of non remote employees,Not having to commute,,5 weeks,Unlimited,Home,,Coffee shops,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,11 to 50,100%,No,No,No,No,,Not applicable,Not applicable,"$150,001 to $200,000",,
1,United States,E-commerce,,Engineering,,Professional level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Not having to commute,,3 weeks,5 weeks,Home,,Coffee shops,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,101 to 500,100%,No,No,No,No,Home office stipend,Between $1 and $5,Not applicable,"$125,001 to $150,000","That even as an introvert, I get lonely.",
1,United States,Software,,Design,,Executive level,More than 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Difficulties with collaboration and communication,,Not having to commute,,4 weeks,Unlimited,Home,,Not applicable,,Frequently (Between one and six months per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,"More than 1,001",1 to 25%,No,Partially,No,No,,Not applicable,Not applicable,"Over $200,000",weight gain,
1,United States,Software,,Engineering,,Professional level,6 months to 11 months,100%,I am happy with the amount of time I work remotely.,1,1,Being in a different timezone than teammates,,,Controlling my work environment to suit my needs perfectly,5 weeks,5 weeks,Home,,,"A friend’s house, if I’m traveling to see friends. Otherwise I work from home 100% of the time.",Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,11 to 50,76 to 99%,No,No,No,No,No,Not applicable,Not applicable,"$75,001 to $100,000",I do not get lonely. I’m an introvert so that might be why. I find that being alone so much for work gives me more energy to be social IRL because usually I have very low social energy. So ironically it’s made me more social! I’ve found the focus I gain from being alone and controlling my environment is much greater than I expected as well.,I find coworking spaces to be way too distracting. I love working remote but I also specifically enjoy working from home. This might be because I’m very introverted but also because I have attention deficit issues. Being able to control my work environment has turned out to be an accessibility bonus in that sense.
1,United States,Software,,Engineering,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Difficulties with collaboration and communication,,Not having to commute,,More than 6 weeks,3 weeks,Home,,Company's office,,Very frequently (More than six months of the year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,"More than 1,001",1 to 25%,No,No,No,No,Travel to HQ,Not applicable,Not applicable,"Over $200,000",Being able to collaborate with anyone in the world on even ground,
1,United States,Software,,Marketing and Advertising,,Professional level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Not being able to unplug,,Ability to work from home,,1 week,Unlimited,Home,,Not applicable,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,"501 to 1,000",51 to 75%,Yes,No,Partially,No,"Monitors/keyboards for home use
Coffee and snack subscriptions
Slippers for all employees",Not applicable,Not applicable,"$75,001 to $100,000",How easy videoconferencing makes remote work in 2019,I've been remote for 19 years. It's only gotten easier and better over time.
1,United States,IT and Services,,Marketing and Advertising,,Senior level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Staying motivated,,Not having to commute,,4 weeks,Unlimited,Home,,,while traveling,Frequently (Between one and six months per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,11 to 50,1 to 25%,No,No,Yes,No,"AV equipment, travel to office as needed/desired",Not applicable,Not applicable,"$125,001 to $150,000",nothing has really surprised me about it,"curious why there aren't questions about AV/comms practices for remote workers that you could correlate with satisfaction levels, percentage of remote workers, experience with remote work, etc. "
1,United States,IT and Services,,,Developer Relations,Professional level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Ability to spend time with family,,4 weeks,Unlimited,Home,,Company's office,,Frequently (Between one and six months per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,101 to 500,1 to 25%,Yes,No,No,No,We get a $150 monthly stipend for expenses.,Not applicable,Not applicable,"$150,001 to $200,000",It took me a few years to figure out a routine that works for me.,Remote work isn't for everybody. I would never suggest to everybody that they work remotely  I do on a case by case basis.
1,United States,IT and Services,,Leadership,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Ability to have a flexible schedule,,4 weeks,Unlimited,Home,,Coworking spaces,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,11 to 50,100%,No,No,No,No,"Laptop, headset, camera, microphone",Between $20 and $30,Between $201 and $300,"$150,001 to $200,000",How collaborative you can be,Might be interesting to ask how it has improved folks' lives to work from home remotely
1,United States,Software,,Engineering,,Executive level,Less than six months,100%,I would like to work remotely less often.,1,1,Difficulties with collaboration and communication,,Ability to have a flexible schedule,,3 weeks,Unlimited,Home,,Home,,Never,Freelancer / Self-employed,,,,,,,,,,Not applicable,Not applicable,"up to $25,000",How much self discipline is required.,
1,United States,Software,,Engineering,,Senior level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Difficulties with collaboration and communication,,Ability to spend time with family,,3 weeks,4 weeks,Home,,Not applicable,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,51 to 100,1 to 25%,No,Yes,No,No,,Not applicable,Not applicable,"$150,001 to $200,000",,
1,United States,Software,,Operations,,Executive level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Being in a different timezone than teammates,,Ability to work from home,,None,Unlimited,Home,,Coffee shops,,Almost all the time,Business owner,1,Part of the team is full-time remote and part of the team works out of the same office.,Fewer than 10,51 to 75%,Yes,Yes,No,No,computer,Between $20 and $30,Not applicable,"$100,000 to $125,000",,
1,United States,Marketing,,Marketing and Advertising,,Executive level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Taking vacation time,,Flexibility to work from any location,,3 weeks,Unlimited,Home,,Coworking spaces,,Frequently (Between one and six months per year),Business owner,1,I am a solo business or freelancer and work remotely,Fewer than 10,100%,Partially,Partially,No,No,No,Between $5 and $10,Between $101 and $200,"$25,001 to $50,000",Routine when traveling abroad,No
1,United States,Non-profit,,Operations,,Professional level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Not being able to unplug,,Ability to have a flexible schedule,,3 weeks,3 weeks,Home,,Coffee shops,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,11 to 50,100%,No,No,No,No,computer & home office setup,Between $11 and $20,Not applicable,"$50,001 to $75,000",that I could never go back to a non-remote job,
1,United States,Software,,Leadership,,Executive level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Being in a different timezone than teammates,,Ability to spend time with family,,None,2 weeks,Home,,,Hotels/airbnbs,Sometimes (Between one week and one month per year),Business owner,1,Everyone at my company works remotely,Fewer than 10,100%,Yes,Yes,Yes,No,,Not applicable,Not applicable,"$100,000 to $125,000",Miss face to face,
1,United States,Education,,Product,,Management level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Difficulties with collaboration and communication,,Not having to commute,,2 weeks,3 weeks,Home,,Coffee shops,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,11 to 50,51 to 75%,No,No,No,No,,Between $1 and $5,Not applicable,"$125,001 to $150,000",Efficiency gains,
1,United States,Software,,Engineering,,Management level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Ability to spend time with family,,3 weeks,Unlimited,Home,,Coffee shops,,Infrequently (Less than a week per year),Freelancer / Self-employed,,,,,,,,,,Between $5 and $10,Not applicable,"$75,001 to $100,000",how much time it saves me!,
1,United States,Software,,Engineering,,Senior level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Ability to have a flexible schedule,,4 weeks,Unlimited,Home,,Coffee shops,,Frequently (Between one and six months per year),Employee,,Everyone at my company works remotely,11 to 50,100%,No,No,Yes,Yes,Travel,Between $11 and $20,Not applicable,"$125,001 to $150,000",Having to create my own social interactions,
1,United States,IT and Services,,Marketing and Advertising,,Senior level,More than 4 years,51 to 75%,I am happy with the amount of time I work remotely.,1,1,Difficulties with collaboration and communication,,,Ability to focus better at home.,2 weeks,2 weeks,Home,,Company's office,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,"More than 1,001",76 to 99%,No,No,No,No,That’s hilarious.  No.,Not applicable,Not applicable,"$125,001 to $150,000",How much more of an effective human I can be. My house is cleaner my laundry is done sooner and I feel more productive at work as well.,I think it would have been interesting to ask about how remote workers feel about “presence“. I think most of us are overly available to compensate for being out of sight. For instance I monitor my instant messaging all through lunch whereas when I worked in  the office I would feel comfortable in checking out for an hour.
1,United States,Non-profit,,Marketing and Advertising,,Professional level,1 year to 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Not being able to unplug,,Flexibility to work from any location,,None,2 weeks,Home,,,Hotels,Frequently (Between one and six months per year),Freelancer / Self-employed,,,,,,,,,,Not applicable,Not applicable,"$75,001 to $100,000",How easy it was to work remote once I grabbed my first remote role,I wish I had more opportunities to talk about working remotely to encourage others to do the same
1,United States,Education,,Customer Support,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Flexibility to work from any location,,3 weeks,Unlimited,Home,,Coworking spaces,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,Fewer than 10,1 to 25%,No,No,No,No,No,Not applicable,Not applicable,"$75,001 to $100,000",how much more work I can get done,I'd love to see the end-report!
1,United States,Financial Services,,Engineering,,Senior level,6 months to 11 months,100%,I am happy with the amount of time I work remotely.,1,1,Difficulties with collaboration and communication,,Ability to spend time with family,,6 weeks,Unlimited,Home,,Company's office,,Sometimes (Between one week and one month per year),Employee,,At my company we can work remotely a certain number of days per week/month,101 to 500,1 to 25%,No,No,No,No,,Not applicable,Not applicable,"$125,001 to $150,000",I work better remotely,
1,United States,Medical and Healthcare,,Operations,,Management level,More than 4 years,1 to 25%,I would like to work remotely more often.,1,1,Difficulties with collaboration and communication,,Not having to commute,,3 weeks,3 weeks,Home,,Company's office,,Infrequently (Less than a week per year),Employee,,At my company we can work from home as needed,101 to 500,1 to 25%,No,No,No,No,No,Not applicable,Not applicable,"$50,001 to $75,000",How much I am able to get done without distractions,You might want to know if people take a tax deduction for home office space......
1,United States,Software,,Engineering,,Professional level,1 year to 4 years,1 to 25%,I am happy with the amount of time I work remotely.,1,1,Difficulties with collaboration and communication,,Ability to have a flexible schedule,,3 weeks,3 weeks,Company's office,,Home,,Infrequently (Less than a week per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,101 to 500,26 to 50%,No,Yes,Partially,No,,Not applicable,Not applicable,"$125,001 to $150,000",Need to communicate much better with written word.,
1,United States,,Real Estate,Operations,,Executive level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Flexibility to work from any location,,3 weeks,6 weeks,Home,,Not applicable,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,11 to 50,76 to 99%,No,No,Yes,No,No,Not applicable,Not applicable,"$100,000 to $125,000",Other people's perception of what it's like to work from home.,
1,United States,Marketing,,Marketing and Advertising,,Executive level,More than 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Not having to commute,,2 weeks,3 weeks,Home,,Company's office,,Frequently (Between one and six months per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,51 to 100,1 to 25%,No,Yes,No,No,No,Not applicable,Not applicable,"$150,001 to $200,000",Loneliness and how fast time flies,The answer to is it best to work in an office or at home... the answer is always the opposite of what you are currently doing 😁
1,United States,Travel and Tourism,,Operations,,Executive level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Flexibility to work from any location,,2 weeks,6 weeks,Home,,Coffee shops,,Frequently (Between one and six months per year),Business owner,1,Everyone at my company works remotely,Fewer than 10,100%,No,No,Yes,Yes,No,Between $5 and $10,Between $1 and $100,"$150,001 to $200,000",How much I enjoy working more,No
1,United States,Education,,,Educator/Tutor/Writer,Senior level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Not being able to unplug,,Ability to work from home,,6 weeks,Unlimited,Home,,Not applicable,,Never,Freelancer / Self-employed,,,,,,,,,,Not applicable,Not applicable,"up to $25,000",How much more time spent working and the less stress felt.,Do you feel yourself working remotely in the next 1 - 5 years.
1,United States,Software,,Marketing and Advertising,,Professional level,Less than six months,51 to 75%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Flexibility to work from any location,,3 weeks,Unlimited,Home,,Coffee shops,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,101 to 500,1 to 25%,No,No,No,No,No,Between $11 and $20,Not applicable,"$50,001 to $75,000",How plugged in I feel with people at the office,No
1,United States,Software,,Engineering,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Ability to have a flexible schedule,,4 weeks,5 weeks,Home,,Not applicable,,Infrequently (Less than a week per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,"More than 1,001",1 to 25%,No,No,No,No,training,Not applicable,Not applicable,"$125,001 to $150,000",How happy I can be not going into an office,"Remote work isn't for everyone, but if you can stay motivated without a boss breathing down your neck, it makes working for the man much more enjoyable."
1,United States,,Telecommunications,Engineering,,Management level,More than 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Flexibility to work from any location,,3 weeks,More than 6 weeks,Home,,Coffee shops,,Sometimes (Between one week and one month per year),Employee,,At my company we can work from home as needed,"More than 1,001",1 to 25%,No,Yes,No,No,No,Between $20 and $30,Not applicable,"$150,001 to $200,000",How much more work effective I am. I get 3x as much work done with very few stop & chat distractions,
1,United States,Software,,Marketing and Advertising,,Management level,Less than six months,100%,I am happy with the amount of time I work remotely.,1,1,Difficulties with collaboration and communication,,Flexibility to work from any location,,2 weeks,Unlimited,Home,,Coffee shops,,Frequently (Between one and six months per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,101 to 500,1 to 25%,No,No,No,No,na,Between $11 and $20,Not applicable,"$125,001 to $150,000",Increased ability to focus....,na
1,United States,Government,,Design,,Management level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,0,1,Loneliness,,Not having to commute,,2 weeks,3 weeks,Coffee shops,,Home,,Sometimes (Between one week and one month per year),Employee,,At my company we can work from home as needed,101 to 500,26 to 50%,No,No,No,No,We get a separate phone for work and a computer.,Between $11 and $20,Between $101 and $200,"$125,001 to $150,000","How difficult it is to meet people. You pretty much have to devise a strategy for keeping new people in your life, especially if you move to a new city in the midst of working remotely as I did.",
1,United States,IT and Services,,Design,,Professional level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Not being able to unplug,,Flexibility to work from any location,,2 weeks,3 weeks,Coworking spaces,,Home,,Sometimes (Between one week and one month per year),Employee,,At my company we can work from home as needed,"More than 1,001",1 to 25%,No,Partially,No,No,None,Between $5 and $10,Between $301 and $400,"$125,001 to $150,000",Need for contact eventually,
1,United States,Software,,Design,,Professional level,1 year to 4 years,1 to 25%,I am happy with the amount of time I work remotely.,1,1,Difficulties with collaboration and communication,,Not having to commute,,3 weeks,Unlimited,Company's office,,Home,,Infrequently (Less than a week per year),Employee,,At my company we can work remotely a certain number of days per week/month,11 to 50,1 to 25%,No,Yes,No,No,,Not applicable,Not applicable,"$150,001 to $200,000",,
1,United States,Software,,Product,,Professional level,1 year to 4 years,76 to 99%,I would like to work remotely less often.,1,1,Being in a different timezone than teammates,,Flexibility to work from any location,,2 weeks,Unlimited,Home,,Company's office,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,"More than 1,001",1 to 25%,No,No,No,No,They send an IT package with keyboard/mouse/monitor etc to remote employees to match HQ IT perks.,Not applicable,Not applicable,"$100,000 to $125,000",How lonely it can be,Surprised you didn't ask about career advancement - I definitely feel working remotely has affected my ability to move up. Mostly because of not being able to build trust as quickly or well with the right people.
1,United States,Software,,Customer Support,,Professional level,Less than six months,100%,I am happy with the amount of time I work remotely.,1,1,Finding reliable wifi,,Flexibility to work from any location,,4 weeks,4 weeks,Home,,Coffee shops,,Frequently (Between one and six months per year),Employee,,Everyone at my company works remotely,101 to 500,100%,No,No,Yes,No,,Between $5 and $10,Not applicable,"$75,001 to $100,000",,
1,United States,Software,,Engineering,,Professional level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Not being able to unplug,,Not having to commute,,3 weeks,Unlimited,Home,,Coffee shops,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,101 to 500,51 to 75%,Yes,No,No,Partially,,Between $11 and $20,,"$125,001 to $150,000",,
1,United States,Software,,Engineering,,Senior level,More than 4 years,100%,I would like to work remotely less often.,1,1,Loneliness,,Ability to have a flexible schedule,,1 week,Unlimited,Home,,Coffee shops,,Infrequently (Less than a week per year),Employee,,Everyone at my company works remotely,51 to 100,76 to 99%,No,No,Partially,No,,Between $5 and $10,Not applicable,"$125,001 to $150,000",,
1,United States,Financial Services,,Finances,,Professional level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Flexibility to work from any location,,2 weeks,2 weeks,Home,,Coffee shops,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,11 to 50,100%,Partially,No,No,No,"Provides all at home office equipment, and a monthly stipend for any office expenses ",Between $1 and $5,Not applicable,"$50,001 to $75,000",How much I can get done without the distractions of office life,
1,United States,Software,,Customer Support,,Professional level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Difficulties with collaboration and communication,,Ability to work from home,,3 weeks,Unlimited,Home,,Not applicable,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,101 to 500,100%,No,No,Yes,No,At hiring there is a “set up your office” stipend,Not applicable,Not applicable,"$75,001 to $100,000",How much more productive I am remotely,No
1,United States,IT and Services,,Marketing and Advertising,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Ability to spend time with family,,3 weeks,3 weeks,Coworking spaces,,Home,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,"More than 1,001",51 to 75%,No,No,No,No,No,Between $20 and $30,Between $401 and $500,"$150,001 to $200,000",Finding out what makes me tick,Remote work is not for all functions and/or industries
1,United States,Financial Services,,Engineering,,Senior level,1 year to 4 years,26 to 50%,I would like to work remotely more often.,1,1,Taking vacation time,,Not having to commute,,3 weeks,5 weeks,Home,,Company's office,,Infrequently (Less than a week per year),Employee,,At my company we can work from home as needed,51 to 100,26 to 50%,Yes,No,No,No,,Between $5 and $10,Not applicable,"Over $200,000",,
1,United States,IT and Services,,Engineering,,Professional level,6 months to 11 months,1 to 25%,I would like to work remotely more often.,1,1,Distractions at home,,Not having to commute,,None,2 weeks,Home,,Company's office,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,,Between $1 and $5,Between $1 and $100,"up to $25,000",Flexibility,"Remote workers need a place to rant about their cats and stuff, that's why Remoterant is here. *Shameless plug* 🤓"
1,United States,,Consulting,Human Resources,,Senior level,1 year to 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Not being able to unplug,,Not having to commute,,3 weeks,3 weeks,Home,,Coworking spaces,,Frequently (Between one and six months per year),Employee,,Everyone at my company works remotely,11 to 50,100%,No,No,No,No,None,Between $5 and $10,Between $1 and $100,"$100,000 to $125,000",My ability to focus on work and get things done more efficiently,
1,United States,Software,,Design,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Ability to have a flexible schedule,,1 week,None,Libraries,,Home,,Frequently (Between one and six months per year),Freelancer / Self-employed,,,,,,,,,,Between $5 and $10,Not applicable,"up to $25,000",That it’s possible in the first place.,"It’s not per se working remotely that I am looking for, rather it’s being able to focus and have the flexibility to move around. I absolutely need to be tied to a permanent home base, though."
1,United States,Marketing,,Leadership,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Taking vacation time,,Ability to have a flexible schedule,,3 weeks,Unlimited,Home,,Coffee shops,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,,Between $5 and $10,Not applicable,"$75,001 to $100,000",how little i miss working in an office!,
1,United States,Marketing,,Marketing and Advertising,,Professional level,1 year to 4 years,51 to 75%,I would like to work remotely more often.,1,1,Distractions at home,,Ability to have a flexible schedule,,2 weeks,2 weeks,Home,,Company's office,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,,Between $11 and $20,Not applicable,"$50,001 to $75,000",,
1,United States,E-commerce,,Customer Support,,,6 months to 11 months,100%,I would like to work remotely more often.,1,1,Loneliness,,Ability to have a flexible schedule,,3 weeks,Unlimited,Home,,Home,,Infrequently (Less than a week per year),Employee,,Everyone at my company works remotely,11 to 50,100%,No,No,No,No,None,Not applicable,Not applicable,"$25,001 to $50,000","now that I work remotely, I’m afraid if I make a career change that I’ll have to work in an office which I’m not sure I could do again ",No
1,United States,IT and Services,,,Technical writer,Professional level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Being in a different timezone than teammates,,Ability to have a flexible schedule,,2 weeks,None,Home,,Not applicable,,Infrequently (Less than a week per year),Freelancer / Self-employed,,,,,,,,,,Not applicable,Not applicable,"$75,001 to $100,000","How much you can accomplish without meetings, putting in face time and distracting coworkers.",
1,United States,Software,,Marketing and Advertising,,Professional level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Difficulties with collaboration and communication,,Not having to commute,,3 weeks,3 weeks,Home,,Coffee shops,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,51 to 100,76 to 99%,No,No,Partially,No,Technology allowance,Between $5 and $10,Not applicable,"$50,001 to $75,000",How much more productive I could be!,
1,United States,Marketing,,Marketing and Advertising,,Management level,6 months to 11 months,100%,I am happy with the amount of time I work remotely.,1,1,Difficulties with collaboration and communication,,Ability to have a flexible schedule,,3 weeks,Unlimited,Home,,Coffee shops,,Very frequently (More than six months of the year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,11 to 50,51 to 75%,Yes,Yes,Yes,Yes,tech supplies,More than $30,Not applicable,"$75,001 to $100,000",I love it,Nooo
1,United States,IT and Services,,Engineering,,Executive level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Difficulties with collaboration and communication,,Not having to commute,,None,None,Home,,Not applicable,,Never,Business owner,1,At my company we can work from home as needed,Just me,100%,Yes,Yes,No,Yes,No,Not applicable,Not applicable,"up to $25,000","Inability to find new ""partners"" that want to participate in my company for sweat equity.",On my prior point... I need to figure out how to find co-sweat equity partners/shareholders/etc.
1,United States,Software,,Product,,Management level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Flexibility to work from any location,,3 weeks,4 weeks,Home,,,Other relatives homes,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,"More than 1,001",1 to 25%,No,Partially,No,No,$200 annually towards local gym membership,Not applicable,Not applicable,"$125,001 to $150,000",That I can earn $135K+ working remotely.,Working at a hybrid company can be very challenging.
1,United States,Software,,Customer Support,,Senior level,More than 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Not having to commute,,4 weeks,Unlimited,Home,,Company's office,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,101 to 500,100%,No,No,Yes,No,,Between $20 and $30,Between $101 and $200,"$125,001 to $150,000","It’s easy to be productive, but incredibly hard to get myself outside my house.",
1,United States,Software,,Leadership,,Executive level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,,People who try to force in person meetings like you owe it to them.,Flexibility to work from any location,,2 weeks,4 weeks,Home,,Coffee shops,,Never,Business owner,1,Everyone at my company works remotely,Fewer than 10,100%,Yes,Yes,Yes,Yes,Home office budget,Not applicable,Not applicable,"Over $200,000",That people still commute and sit in traffic.,"I not only work remotely but live a 100 % remote lifestyle. In person meetings that are not optional are dealbreakers. There are so many reasons not to force in person meetings, I could write a book."
1,United States,E-commerce,,Product,,Professional level,1 year to 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Taking vacation time,,Not having to commute,,2 weeks,4 weeks,Home,,Not applicable,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,Fewer than 10,26 to 50%,No,No,No,No,N/A - I work at a bootstrapped startup,Not applicable,Not applicable,"up to $25,000",How much more efficient I was as an employee,
